OBJECTID_1,OBJECTID,DIGEST,SITUS,TAXPIN,PARID,ATRPIN,TAX_DISTR,OWNER,OWPART2,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS5,LUC,NBHD,PROP_CLASS,CLASS,TOT_APPR,TOT_ASSESS,IMPR_APPR,LAND_APPR,FUL_EX_COD,VAL_ACRES,STRUCT_FLR,STRUCT_YR,TIEBACK,TAXYEAR,STATUS_COD,LIV_UNITS,PCODE,UNIT_NUM,EXTVER,PIN,OLD_ID,STR_NUMBER,ATLPIN,GIS_LAND_P,TaxPin_joi,address_no,taxpin4,APN,PARID_1,LandUse_Description,NPU,Neighborhood_Name,PARID_no_s,SCI_Landuse,Photographs,Lot_Condition,Structure_Condition,Sidewalks,Multiple_Violations
28336,27525,2010,112 ORMOND ST SE,14 00540008175,14 005400081758,14 -0054-0008-175-8,5,YUM JIM TAE ET AL, ,112 ORMOND ST SE,ATLANTA GA 30315, , ,347,C918,C3,C,485700,194280,84480,109800, ,0.28,0,1967, ,2010,M,0, ,175,20101028,14 00540008175,1.40E+12,112 ORMOND ST SE, ,0, 14 00540008175,0,8175, ,14 005400081758,SUPERMARKET 347,V,Summerhill,1.40E+12,C,photos\53\2321\img_rpt-hillglenda_at_ymail_dot_com-2011-12-7-14-55-32_1.jpg,Fair,Fair,Yes,N
28608,27377,2010,834 HANK AARON DR SE,14 00540007149,14 005400071494,14 -0054-0007-149-4,05P,NGUYEN TUNG  ET AL, ,778 VINNINGS ESTATE DR SE,MABLETON GA 30126, , ,348,C918,C3,C,533900,213560,26320,187240, ,0.44,0,1964, ,2010,6,0, ,149,20101028,14 00540007149,1.40E+12,834 HANK AARON DR SE, ,0, 14 00540007149,0,7149, ,14 005400071494,CONVENIENCE FOOD MARKET 348,V,Summerhill,1.40E+12,C,0, , , , 
29379,30347,2010,8 CLEVELAND AVE SE,14 00600004072,14 006000040723,14 -0060-0004-072-3,5,BRANTLEY CLARENCE, ,1981 VENETIAN DR SW,ATLANTA GA 30311, , ,333,C905,C3,C,104100,41640,11520,30120, ,0.4,0,1958, ,2010,6,0, ,72,20101028,14 00600004072,1.40E+12,8 CLEVELAND AVE SE, ,0, 14 00600004072,0,4072, ,14 006000040723,SERVICE STATION WITH BAYS 333,Z,Browns Mill Park,1.40E+12,C,0, , , , 
29542,30396,2010,121 CLEVELAND AVE SE,14 0061  LL059,14 0061  LL0594,14 -0061-  LL-059-4,5,REHMAN RAZAUR, ,568 LANE ST,ROCKMART GA 30153, , ,348,C905,C3,C,1284500,513800,345120,168680, ,0.7,0,1975, ,2010,6,0, ,59,20101028,14 0061  LL059,140061LL059,121 CLEVELAND AVE SE, ,0, 14 0061  LL059,0,L059, ,14 0061  LL0594,CONVENIENCE FOOD MARKET 348,Z,Glenrose Heights,140061LL059,C,0, , , , 
29665,29175,2010,1634 LAKEWOOD AVE SE,14 00570017021,14 005700170210,14 -0057-0017-021-0,5,PARK GYEONG HO & SEUNG NAM, ,5040 HUNTWOOD WAY,ROSWELL GA 30075, , ,348,C901,C3,C,137400,54960,25400,29560, ,0.08,0,1960, ,2010,6,0, ,21,20101028,14 00570017021,1.40E+12,1634 LAKEWOOD AVE SE, ,0, 14 00570017021,0,7021, ,14 005700170210,CONVENIENCE FOOD MARKET 348,Y,Lakewood Heights,1.40E+12,C,photos\53\86370\img_rpt-hillglenda_at_ymail_dot_com-2012-1-26-10-45-54_1.jpg,Fair,Fair,Yes,N
29682,29399,2010,1681 JONESBORO RD SE,14 00570026015,14 005700260151,14 -0057-0026-015-1,5,NOBLE REALTY, ,P O BOX 398,FAIRBURN GA 30213, , ,347,C901,C3,C,246500,98600,56480,42120, ,0.3,0,1950, ,2010,6,0, ,15,20101028,14 00570026015,1.40E+12,1681 JONESBORO RD SE, ,0, 14 00570026015,0,6015, ,14 005700260151,SUPERMARKET 347,Y,Lakewood Heights,1.40E+12,C,photos\123\175033\img_rpt-shandra_at_tapinspect_dot_com-2012-5-15-10-51-48_1.jpg,Good,Deteriorated,Yes,N
29725,29194,2010,1683 LAKEWOOD AVE SE,14 00570017046,14 005700170467,14 -0057-0017-046-7,5,ANKAN INC, ,2121 SUGAR VALLEY LN,LAWRENCEVILLE GA 30043, , ,348,C901,C3,C,1090400,436160,287320,148840, ,0.62,0,1962, ,2010,6,0, ,46,20101028,14 00570017046,1.40E+12,1683 LAKEWOOD AVE SE, ,0, 14 00570017046,0,7046, ,14 005700170467,CONVENIENCE FOOD MARKET 348,Y,Lakewood Heights,1.40E+12,C,photos\54\86676\img_rpt-brendaellison92_at_yahoo_dot_com-2012-1-26-10-53-16_1.jpg,Fair,Fair,No,Not Visible
29728,29404,2010,1660 JONESBORO RD SE,14 00570027001,14 005700270010,14 -0057-0027-001-0,5,TUCKER & SONS INC, ,1660 JONESBORO RD SE,ATLANTA GA 30315, , ,347,C901,C3,C,418900,167560,125440,42120, ,0.3,0,1955, ,2010,6,0, ,1,20101028,14 00570027001,1.40E+12,1660 JONESBORO RD SE, ,0, 14 00570027001,0,7001, ,14 005700270010,SUPERMARKET 347,Y,Lakewood Heights,1.40E+12,C,photos\53\91126\img_rpt-hillglenda_at_ymail_dot_com-2012-1-27-10-18-32_1.jpg,Fair,Fair,Yes,N
29739,29415,2010,1686 JONESBORO RD SE,14 00570027014,14 005700270143,14 -0057-0027-014-3,5,BANKS ROY M  ET AL, ,8180 SULLIVAN HILL RD,ATLANTA GA 30350 3134, , ,333,C901,C3,C,183400,73360,28680,44680, ,0.34,0,1955, ,2010,6,0, ,14,20101028,14 00570027014,1.40E+12,1686 JONESBORO RD SE, ,0, 14 00570027014,0,7014, ,14 005700270143,SERVICE STATION WITH BAYS 333,Y,Lakewood Heights,1.40E+12,C,photos\53\91109\img_rpt-hillglenda_at_ymail_dot_com-2012-1-27-10-20-27_1.jpg,Fair,No Structure,Yes,N
29767,29195,2010,1629 LAKEWOOD AVE SE,14 00570017048,14 005700170483,14 -0057-0017-048-3,5,SE II LLC, ,P O BOX 70,DOUGLASVILLE GA 30133, , ,348,C901,C3,C,200500,80200,25880,54320, ,0.5,0,1965, ,2010,6,0, ,48,20101028,14 00570017048,1.40E+12,1629 LAKEWOOD AVE SE, ,0, 14 00570017048,0,7048, ,14 005700170483,CONVENIENCE FOOD MARKET 348,Y,Lakewood Heights,1.40E+12,C,photos\54\86621\img_rpt-brendaellison92_at_yahoo_dot_com-2012-1-26-10-45-44_1.jpg,Good,Good,Yes,N
30170,29515,2010,1811 LAKEWOOD AVE SE,14 00580002091,14 005800020919,14 -0058-0002-091-9,5,SIMMONS TERRELL, ,2291 BAYWOOD DR SE,ATLANTA GA 30315, , ,334,C904,C3,C,144600,57840,18560,39280, ,0.25,0,1961, ,2010,6,0, ,91,20101028,14 00580002091,1.40E+12,1811 LAKEWOOD AVE SE, ,0, 14 00580002091,0,2091, ,14 005800020919,SERVICE STATION W/O BAYS 334,Y,Lakewood Heights,1.40E+12,C,photos\54\86560\img_rpt-brendaellison92_at_yahoo_dot_com-2012-1-26-11-8-51_1.jpg,Poor,Poor,Yes,Y
30497,31163,2010,BROWN MILL RD,14 0065  LL106,14 0065  LL1069,14 -0065-  LL-106-9,5,SHAAZ PROPERTIES LLC, ,689 BOULVARD NE,ATLANTA GA 30308, , ,348,C907,C3,C,434000,173600,29640,143960, ,0.6,0,1992, ,2010,U,0, ,106,20101028,14 0065  LL106,140065LL106,BROWN MILL RD, ,0, 14 0065  LL106,0,L106, ,14 0065  LL1069,CONVENIENCE FOOD MARKET 348,Z,Glenrose Heights,140065LL106,C,0, , , , 
30593,31187,2010,3556 EMPIRE BLVD SW,14 0066  LL111,14 0066  LL1118,14 -0066-  LL-111-8,5,"D & K UNLIMITED, INC.", ,3556 EMPIRE BLVD SW,ATLANTA GA 30354, , ,348,C907,C3,C,1029700,411880,237880,174000, ,0.73,0,1993, ,2010,6,0, ,111,20101028,14 0066  LL111,140066LL111,3556 EMPIRE BLVD SW, ,0, 14 0066  LL111,0,L111, ,14 0066  LL1118,CONVENIENCE FOOD MARKET 348,Z,Glenrose Heights,140066LL111,C,0, , , , 
31696,31875,2010,151 CLEVELAND AVE SW,14 00690005047,14 006900050475,14 -0069-0005-047-5,05R,CLEVELAND AMOKOI LLC, ,3970 ROGERS BRIDGE RD,DULUTH GA 30097, , ,348,C906,C3,C,450000,180000,45080,134920, ,0.56,0,1997, ,2010,6,0, ,47,20101028,14 00690005047,1.40E+12,151 CLEVELAND AVE SW, ,0, 14 00690005047,0,5047, ,14 006900050475,CONVENIENCE FOOD MARKET 348,Z,Browns Mill Park,1.40E+12,C,0, , , , 
31697,31876,2010,221 CLEVELAND AVE SW,14 00690005049,14 006900050491,14 -0069-0005-049-1,05R,CLEVELAND ENTERPRISES INC, ,630 WHITLOCK AVE,MARIETTA GA 30064, , ,348,C906,C3,C,1039300,415720,300440,115280, ,0.48,0,1984, ,2010,6,0, ,49,20101028,14 00690005049,1.40E+12,221 CLEVELAND AVE SW, ,0, 14 00690005049,0,5049, ,14 006900050491,CONVENIENCE FOOD MARKET 348,Z,Browns Mill Park,1.40E+12,C,0, , , , 
32233,32430,2010,1695 PRYOR RD SW,14 0072  LL013,14 0072  LL0138,14 -0072-  LL-013-8,5,KIM JONG S, ,631 BELGRAVE LN,ATTN. BEN DAMON,TUCKER GA 30084, ,348,C901,C3,C,113300,45320,8680,36640, ,0.2,0,1960, ,2010,6,0, ,13,20101028,14 0072  LL013,140072LL013,1695 PRYOR RD SW, ,0, 14 0072  LL013,0,L013, ,14 0072  LL0138,CONVENIENCE FOOD MARKET 348,Y,Betmar LaVilla,140072LL013,C,0, , , , 
33320,33058,2010,180 UNIVERSITY AVE SW,14 00730002045,14 007300020456,14 -0073-0002-045-6,5,GEORGIA ALABAMA COMMERCIAL INVESTMENTS, ,2875 UNIVERSITY PKWY,LAWRENCEVILLE GA 30043, , ,348,C901,C3,C,728900,291560,97200,194360, ,0.81,0,1985, ,2010,6,0, ,45,20101028,14 00730002045,1.40E+12,180 UNIVERSITY AVE SW, ,0, 14 00730002045,0,2045, ,14 007300020456,CONVENIENCE FOOD MARKET 348,V,Pittsburgh,1.40E+12,C,0,Poor,Deteriorated,Yes,Y
33859,34916,2010,DECATUR ST SE,14 00770004088,14 007700040880,14 -0077-0004-088-0,05F,H T REAL ESTATE L L C, ,3355 LENOX RD NE STE 425,ATLANTA GA 30326 1352, , ,323,CB00,C3,C,161600,64640,9360,55280, ,0,0,1970, ,2010,8,0, ,88,20101028,14 00770004088,1.40E+12,DECATUR ST SE, ,0, 14 00770004088,0,4088, ,14 007700040880,FOOD STANDS 323,M,Downtown,1.40E+12,C,photos\131\182717\img_rpt-kelvin_at_tapinspect_dot_com-2012-5-28-20-12-18_1.jpg,Not Visible,Not Visible,Yes,Not Visible
33958,34944,2010,116 SPRING ST SW,14 00770005044,14 007700050442,14 -0077-0005-044-2,05Z,PATTERSON PROPERTIES LLC, ,911 BAYRIDGE DR,JACKSON MS 39211, , ,323,CB06,C3,C,332800,133120,7040,126080, ,0,0,1980, ,2010,6,0, ,44,20101028,14 00770005044,1.40E+12,116 SPRING ST SW, ,0, 14 00770005044,0,5044, ,14 007700050442,FOOD STANDS 323,M,Downtown,1.40E+12,C,0, , , , 
34494,33817,2010,664 PRYOR ST SW,14 00750002078,14 007500020785,14 -0075-0002-078-5,05P,CARLOS CHRIS, ,1 NATIONAL DR SW,ATLANTA GA 30336, , ,333,C604,C3,C,117700,47080,17360,29720, ,0.28,0,1960, ,2010,6,0, ,78,20101028,14 00750002078,1.40E+12,664 PRYOR ST SW, ,0, 14 00750002078,0,2078, ,14 007500020785,SERVICE STATION WITH BAYS 333,V,Mechanicsville,1.40E+12,C,0, , , , 
34495,33818,2010,180 RALPH D ABERNATHY BLVD SW,14 00750002079,14 007500020793,14 -0075-0002-079-3,05P,CONVEXCO VENTURES INC, ,180 RALPH DAVID ABERNATHY BLVD SW,ATLANTA GA 30312 2748, , ,348,C604,C3,C,366900,146760,74880,71880, ,0.37,0,1987, ,2010,6,0, ,79,20101028,14 00750002079,1.40E+12,180 RALPH D ABERNATHY BLVD SW, ,0, 14 00750002079,0,2079, ,14 007500020793,CONVENIENCE FOOD MARKET 348,V,Mechanicsville,1.40E+12,C,photos\124\184759\img_rpt-allensr_at_tapinspect_dot_com-2012-6-1-10-1-25_1.jpg,Fair,Fair,Yes,N
34979,33726,2010,288 RALPH D ABERNATHY BLVD SW,14 00750001153,14 007500011537,14 -0075-0001-153-7,05P,HUFF NORMAN, ,288 RALPH D ABERNATHY,ATLANTA GA 30310, , ,348,C604,C3,C,254700,101880,31000,70880, ,0.36,0,1970, ,2010,6,0, ,153,20101028,14 00750001153,1.40E+12,288 RALPH D ABERNATHY BLVD SW, ,0, 14 00750001153,0,1153, ,14 007500011537,CONVENIENCE FOOD MARKET 348,V,Mechanicsville,1.40E+12,C,photos\124\184746\img_rpt-allensr_at_tapinspect_dot_com-2012-6-1-9-33-23_1.jpg,Fair,Poor,Yes,N
35412,36410,2010,388 LUCKIE ST NW,14 00790009011,14 007900090115,14 -0079-0009-011-5,05Y,KU SANG HUN, ,388 LUCKIE ST,ATLANTA GA 30313, , ,348,CB00,C3,C,892400,356960,101160,255800, ,0,0,1979, ,2010,6,0, ,11,20101028,14 00790009011,1.40E+12,388 LUCKIE ST NW, ,0, 14 00790009011,0,9011, ,14 007900090115,CONVENIENCE FOOD MARKET 348,M,Downtown,1.40E+12,C,photos\48\109348\img_rpt-carlene_dot_cush_at_gmail_dot_com-2012-2-2-11-59-26_1.jpg,Good,Fair,Yes,Not Visible
35997,36363,2010,600 SPRING ST NW,14 00790003066,14 007900030665,14 -0079-0003-066-5,05F,SPRING STREET ONE SIX NINE TWO ONE LLC, ,10745 WESTSIDE WAY STE 225,ALPHARETTA GA 30009, , ,348,CB07,C3,C,4096600,1638640,236640,1402000, ,0,0,1998, ,2010,6,0, ,66,20101028,14 00790003066,1.40E+12,600 SPRING ST NW, ,0, 14 00790003066,0,3066, ,14 007900030665,CONVENIENCE FOOD MARKET 348,M,Downtown,1.40E+12,C,photos\48\16029\img_rpt-carlene_dot_cush_at_gmail_dot_com-2011-12-22-9-21-42_1.jpg,Good,Good,Yes,Not Visible
38728,39485,2010,490 WHITEHALL ST SW,14 00850005087,14 008500050871,14 -0085-0005-087-1,5,SSN ALEXIS INC, ,490 WHITEHALL ST,D/B/A CHEVRON FOOD MA,ATLANTA GA 30303, ,348,CB06,C3,C,870300,348120,207160,140960, ,0,0,2000, ,2010,6,0, ,87,20101028,14 00850005087,1.40E+12,490 WHITEHALL ST SW, ,0, 14 00850005087,0,5087, ,14 008500050871,CONVENIENCE FOOD MARKET 348,M,Castleberry Hill,1.40E+12,C,photos\130\152478\img_rpt-tabatha_at_tapinspect_dot_com-2012-4-13-10-54-46_1.jpg,Good,Good,Yes,N
38922,39325,2010,334 MC DANIEL ST SW,14 00850001072,14 008500010727,14 -0085-0001-072-7,5,PARKER HUBBARD B, ,147 FAIRFIELD PL NW,ATLANTA GA 30314, , ,323,CB06,C3,C,105400,42160,5480,36680, ,0,0,0, ,2010,6,0, ,72,20101028,14 00850001072,1.40E+12,334 MC DANIEL ST SW, ,0, 14 00850001072,0,1072, ,14 008500010727,FOOD STANDS 323,M,Castleberry Hill,1.40E+12,C,photos\123\152617\img_rpt-shandra_at_tapinspect_dot_com-2012-4-13-13-34-24_1.jpg,Good,Good,Yes,N
38925,39328,2010,294 NORTHSIDE DR SW,14 00850001077,14 008500010776,14 -0085-0001-077-6,5,BARANOVITZ JACK &, ,2210 CHRYSLER TER NE,ATLANTA GA 30345, , ,326,CB06,C3,C,756700,302680,240720,61960, ,0,0,1999, ,2010,6,0, ,77,20101028,14 00850001077,1.40E+12,294 NORTHSIDE DR SW, ,0, 14 00850001077,0,1077, ,14 008500010776,CONVENIENCE / FAST FOOD MARKET 326*,M,Castleberry Hill,1.40E+12,C,photos\130\151960\img_rpt-tabatha_at_tapinspect_dot_com-2012-4-12-14-1-49_1.jpg,Good,Good,Yes,N
39149,39586,2010,610 METROPOLITAN PKWY SW,14 00850011028,14 008500110287,14 -0085-0011-028-7,5,LEE FREDDIE DELYNN, ,553 CREEK STONE DR,JONESBORO GA 30236, , ,333,C604,C3,C,269000,107600,27240,80360, ,0.41,0,1970, ,2010,6,0, ,28,20101028,14 00850011028,1.40E+12,610 METROPOLITAN PKWY SW, ,0, 14 00850011028,0,1028, ,14 008500110287,SERVICE STATION WITH BAYS 333,V,Pittsburgh,1.40E+12,C,0,Poor,Deteriorated,Yes,Y
40103,40907,2010,337 FLETCHER ST SW,14 00870006131,14 008700061314,14 -0087-0006-131-4,5,EZIMORA MAX O & CHIOMA E, ,337 FLETCHER ST SW,ATLANTA GA 30310, , ,348,C604,C3,C,61700,24680,7360,17320, ,0.07,0,0, ,2010,6,0, ,131,20101028,14 00870006131,1.40E+12,337 FLETCHER ST SW, ,0, 14 00870006131,0,6131, ,14 008700061314,CONVENIENCE FOOD MARKET 348,V,Pittsburgh,1.40E+12,C,photos\123\173664\img_rpt-shandra_at_tapinspect_dot_com-2012-5-11-14-49-52_1.jpg,Good,Good,Yes,N
40584,40804,2010,1003 MC DANIEL ST SW,14 00870005129,14 008700051299,14 -0087-0005-129-9,5,BARKA CORPORATION, ,1003 MC DANIEL ST,ATLANTA GA 30310, , ,347,C604,C3,C,340400,136160,99120,37040, ,0,0,1962, ,2010,6,0, ,129,20101028,14 00870005129,1.40E+12,1003 MC DANIEL ST SW, ,0, 14 00870005129,0,5129, ,14 008700051299,SUPERMARKET 347,V,Pittsburgh,1.40E+12,C,photos\130\152467\img_rpt-tabatha_at_tapinspect_dot_com-2012-4-13-12-16-59_1.jpg,Good,Good,Yes,N
41630,41306,2010,332 FLETCHER ST SW,14 00870009068,14 008700090685,14 -0087-0009-068-5,5,ARIA PROPERTIES LLC, ,P O BOX 9261,MARIETTA GA 30065, , ,348,C604,C3,C,80700,32280,12040,20240, ,0.11,0,0, ,2010,6,0, ,68,20101028,14 00870009068,1.40E+12,332 FLETCHER ST SW, ,0, 14 00870009068,0,9068, ,14 008700090685,CONVENIENCE FOOD MARKET 348,V,Pittsburgh,1.40E+12,C,photos\130\173318\img_rpt-tabatha_at_tapinspect_dot_com-2012-5-11-14-48-21_1.jpg,Fair,Good,Yes,Y
41845,42815,2010,2866 METROPOLITAN PKWY SW,14 00930003203,14 009300032036,14 -0093-0003-203-6,05R,GHAZIPURA MOHAMMED ZAHID, ,3223 ARBOR RIDGE DR,ATLANTA GA 30340, , ,333,C906,C3,C,67300,26920,12480,14440, ,0.14,0,1970, ,2010,N,0, ,203,20101028,14 00930003203,1.40E+12,2866 METROPOLITAN PKWY SW, ,0, 14 00930003203,0,3203, ,14 009300032036,SERVICE STATION WITH BAYS 333,X,Hammond Park,1.40E+12,C,0, , , , 
42061,43071,2010,655 CLEVELAND AVE SW,14 0101  LL038,14 0101  LL0380,14 -0101-  LL-038-0,05R,MAYUARI CORPORATION, ,655 CLEVELAND AVE,ATLANTA GA 30315, , ,334,C906,C3,C,451300,180520,45040,135480, ,0,0,1979, ,2010,6,0, ,38,20101028,14 0101  LL038,140101LL038,655 CLEVELAND AVE SW, ,0, 14 0101  LL038,0,L038, ,14 0101  LL0380,SERVICE STATION W/O BAYS 334,X,Perkerson,140101LL038,C,0, , , , 
42132,42686,2010,374 CLEVELAND AVE SW,14 00930002141,14 009300021419,14 -0093-0002-141-9,05R,ISK PROPERTIES LLC, ,2754 N DECATUR RD SUITE 118,DECATUR GA 30033, , ,348,C906,C3,C,477100,190840,80680,110160, ,0.74,0,1968, ,2010,6,0, ,141,20101028,14 00930002141,1.40E+12,374 CLEVELAND AVE SW, ,0, 14 00930002141,0,2141, ,14 009300021419,CONVENIENCE FOOD MARKET 348,X,Hammond Park,1.40E+12,C,0, , , , 
42219,43113,2010,CLEVELAND AVE SW,14 01010004027,14 010100040278,14 -0101-0004-027-8,05R,CLEVELAND & EIGHTY FIVE CENTER, ,P. O. BOX 1565,LAWRENCEVILLE GA 30046, , ,348,C908,C3,C,1594500,637800,262400,375400, ,0,0,2001, ,2010,6,0, ,27,20101028,14 01010004027,1.40E+12,CLEVELAND AVE SW, ,0, 14 01010004027,0,4027, ,14 010100040278,CONVENIENCE FOOD MARKET 348,X,Perkerson,1.40E+12,C,0, , , , 
42389,43353,2010,2836 LAKEWOOD AVE SW,14 01020002064,14 010200020642,14 -0102-0002-064-2,05R,MILLER MARY JACKSON, ,160 S. KITE LAKE RD,FAYETTEVILLE GA 30214, , ,333,C908,C3,C,739400,295760,174160,121600, ,0.51,0,1965, ,2010,6,0, ,64,20101028,14 01020002064,1.40E+12,2836 LAKEWOOD AVE SW, ,0, 14 01020002064,0,2064, ,14 010200020642,SERVICE STATION WITH BAYS 333,X,Sylvan Hills,1.40E+12,C,0, , , , 
42693,42011,2010,1850 METROPOLITAN PKWY SW,14 00900001111,14 009000011116,14 -0090-0001-111-6,05R,SARANJEET KAUR CHHABRA &, ,1850 METROPOLITAN PKWY,ATLANTA GA 30315, , ,348,C605,C3,C,432400,172960,75240,97720, ,0.65,0,1970, ,2010,6,0, ,111,20101028,14 00900001111,1.40E+12,1850 METROPOLITAN PKWY SW, ,0, 14 00900001111,0,1111, ,14 009000011116,CONVENIENCE FOOD MARKET 348,X,Sylvan Hills,1.40E+12,C,0, , , , 
43347,42588,2010,2755 METROPOLITAN PKWY,14 00930001131,14 009300011311,14 -0093-0001-131-1,05R,GRIFFIN LAUREN B & ODEN HAROLD, ,1244 BRANCHFIELD CT,RIVERDALE GA 30274 2148, , ,348,C906,C3,C,90800,36320,21440,14880, ,0.15,0,1947, ,2010,J,0, ,131,20101028,14 00930001131,1.40E+12,2755 METROPOLITAN PKWY, ,0, 14 00930001131,0,1131, ,14 009300011311,CONVENIENCE FOOD MARKET 348,X,Hammond Park,1.40E+12,C,0, , , , 
44059,45030,2010,1341 METROPOLITAN PKWY SW,14 01050009122,14 010500091228,14 -0105-0009-122-8,5,DONGOR CORP, ,P O BOX 6657,ATLANTA GA 30315, , ,333,C605,C3,C,258600,103440,43920,59520, ,0.3,0,1969, ,2010,6,0, ,122,20101028,14 01050009122,1.40E+12,1341 METROPOLITAN PKWY SW, ,0, 14 01050009122,0,9122, ,14 010500091228,SERVICE STATION WITH BAYS 333,X,Capitol View,1.40E+12,C,photos\124\185803\img_rpt-allensr_at_tapinspect_dot_com-2012-6-5-11-11-56_1.jpg,Fair,Fair,Yes,N
44299,44661,2010,1241 METROPOLITAN PKWY SW,14 01050004006,14 010500040068,14 -0105-0004-006-8,5,AMINA HASSANALI REVOCABLE, ,2350 BRIARCLIFF COMMONS,ATLANTA GA 30345, , ,348,C605,C3,C,450000,180000,31600,148400, ,1.21,0,1965, ,2010,J,0, ,6,20101028,14 01050004006,1.40E+12,1241 METROPOLITAN PKWY SW, ,0, 14 01050004006,0,4006, ,14 010500040068,CONVENIENCE FOOD MARKET 348,V,Adair Park,1.40E+12,C,photos\124\185863\img_rpt-allensr_at_tapinspect_dot_com-2012-6-5-8-35-30_1.jpg,Poor,Fair,Yes,N
44391,43852,2010,2050 SYLVAN RD SW,14 01030002054,14 010300020542,14 -0103-0002-054-2,5,STRONG ENTERPRISES INC, ,2046 STANTON RD,EAST POINT GA 30344, , ,348,C605,C3,C,275000,110000,50400,59600, ,0.6,0,1968, ,2010,6,0, ,54,20101028,14 01030002054,1.40E+12,2050 SYLVAN RD SW, ,0, 14 01030002054,0,2054, ,14 010300020542,CONVENIENCE FOOD MARKET 348,X,Sylvan Hills,1.40E+12,C,photos\74\108274\img_rpt-duggermike53_at_yahoo_dot_com-2012-1-29-12-12-27_1.jpg,Good,Good,Yes,N
44393,43854,2010,1974 SYLVAN RD SW,14 01030002056,14 010300020567,14 -0103-0002-056-7,5,KOMEL INC, ,1960 PERKERSON RD,ATLANTA GA 30310, , ,348,C605,C3,C,1250000,500000,383480,116520, ,0.49,0,1984, ,2010,6,0, ,56,20101028,14 01030002056,1.40E+12,1974 SYLVAN RD SW, ,0, 14 01030002056,0,2056, ,14 010300020567,CONVENIENCE FOOD MARKET 348,X,Sylvan Hills,1.40E+12,C,photos\74\108290\img_rpt-duggermike53_at_yahoo_dot_com-2012-1-29-12-6-26_1.jpg,Good,Good,Yes,N
44436,43667,2010,1960 PERKERSON RD SW,14 0103  LL015,14 0103  LL0156,14 -0103-  LL-015-6,5,MIRAGE ENTERPRISES INC, ,589 GORDON COMBS RD,APT 714,MARIETTA GA 30064, ,333,C605,C3,C,256500,102600,26200,76400, ,0.52,0,1969, ,2010,6,0, ,15,20101028,14 0103  LL015,140103LL015,1960 PERKERSON RD SW, ,0, 14 0103  LL015,0,L015, ,14 0103  LL0156,SERVICE STATION WITH BAYS 333,X,Sylvan Hills,140103LL015,C,0, , , , 
44529,43684,2010,2095 METROPOLITAN PKWY SW,14 0103  LL050,14 0103  LL0503,14 -0103-  LL-050-3,05R,AMOCO OIL CO, ,5317 T L BOWER WAY,FLOWERY BRANCH GA 30542 2898, , ,348,C605,C3,C,526900,210760,89240,121520, ,0.62,0,1987, ,2010,P,0, ,50,20101028,14 0103  LL050,140103LL050,2095 METROPOLITAN PKWY SW, ,0, 14 0103  LL050,0,L050, ,14 0103  LL0503,CONVENIENCE FOOD MARKET 348,X,Sylvan Hills,140103LL050,C,0, , , , 
45215,46831,2010,180 ELM ST SW,14 01090005075,14 010900050758,14 -0109-0005-075-8,5,ONE EIGHTY ELM STREET LLC, ,230 JOHN WESLEY DOBBS,ATLANTA GA 30303, , ,348,C407,C3,C,124500,49800,35800,14000, ,0,0,1963, ,2010,6,0, ,75,20101028,14 01090005075,1.40E+12,180 ELM ST SW, ,0, 14 01090005075,0,5075, ,14 010900050758,CONVENIENCE FOOD MARKET 348,T,Atlanta University Center,1.40E+12,C,0, , , , 
45446,46480,2010,516 LEE ST SW,14 01080007085,14 010800070856,14 -0108-0007-085-6,5,SW KIM INC, ,516 LEE ST,ATLANTA GA 30310, , ,347,C603,C3,C,430000,172000,77000,95000, ,0.32,0,1961, ,2010,6,0, ,85,20101028,14 01080007085,1.40E+12,516 LEE ST SW, ,0, 14 01080007085,0,7085, ,14 010800070856,SUPERMARKET 347,T,West End,1.40E+12,C,0, , , , 
45964,46195,2010,535 LEE ST SW,14 0108  LL010,14 0108  LL0102,14 -0108-  LL-010-2,5,REED AMERICUS & GLORIA, ,535 LEE ST SW,ATLANTA GA 30312, , ,348,C603,C3,C,441700,176680,94040,82640, ,0.35,0,1990, ,2010,6,0, ,10,20101028,14 0108  LL010,140108LL010,535 LEE ST SW, ,0, 14 0108  LL010,0,L010, ,14 0108  LL0102,CONVENIENCE FOOD MARKET 348,T,West End,140108LL010,C,photos\69\135321\img_rpt-danielhis_at_msn_dot_com-2012-3-9-10-32-49_1.jpg,Good,Good,Yes,N
46033,45779,2010,1163 METROPOLITAN PKWY SW,14 01060014020,14 010600140206,14 -0106-0014-020-6,5,JUPITER DEVELOPMENT INC, ,1163 METROPOLITAN PKWY SW,ATLANTA GA 30310 3500, , ,348,C604,C3,C,418900,167560,85200,82360, ,0.42,0,2003, ,2010,6,0, ,20,20101028,14 01060014020,1.40E+12,1163 METROPOLITAN PKWY SW, ,0, 14 01060014020,0,4020, ,14 010600140206,CONVENIENCE FOOD MARKET 348,V,Adair Park,1.40E+12,C,photos\124\185499\img_rpt-allensr_at_tapinspect_dot_com-2012-6-4-9-32-6_1.jpg,Poor,No Structure,Yes,N
